\     ,標準答案  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,答對題數,得分  ,符號說明,答案正確:-,答案錯誤:呈現學生答案,未作答:=
座號  ,題號      ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,        ,      ,複選時代碼對照,A:A,B:B,C:C
test_p0-6.png號,學生答案  , Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, P, P, P, P,-1      ,-1    ,D:D,F:AB,G:AC,H:AD
test_p1-11.png號,學生答案  , C, D, C, A, B, C, C, A, B, C, B, B, C, A, B, C, D, B, D, A, C, C, B, A, D, B, B, B, B, A, D, B, A, B, C, C, D, C, B, A, A, D, C, A, B, D, D, B, D, C,-1      ,-1    ,J:BC,K:BD,M:CD,P:ABC
test_p10-56.png號,學生答案  , A, D, C, A, B, C, C, B, B, A, B, B, C, A, B, A, A, B, B, A, C, B, B, C, D, B, B, B, B, A, D, B, A, B, C, C, B, C, B, A, A, D, D, A, C, D, C, B, C, C,-1      ,-1    ,Q:ABD,S:ACD,V:BCD,Z:ABCD
test_p11-61.png號,學生答案  , C, B, C, A, B, C, C, C, B, C, B, D, C, A, B, A, A, B, C, A, A, A, B, A, D, B, B, B, D, D, D, B, A, B, C, C, C, C, B, A, C, D, A, A, D, D, D, B, C, C,-1      ,-1    
test_p12-66.png號,學生答案  , C, D, C, C, B, C, C, D, B, B, B, C, C, A, B, C, B, D, C, A, C, D, B, D, D, B, B, A, A, A, D, B, A, B, C, C, C, C, B, A, A, D, C, A, C, D, C, B, D, C,-1      ,-1    
test_p13-71.png號,學生答案  , C, D, C, A, B, C, C, A, B, B, B, B, C, A, B, A, D, B, D, A, C, C, B, A, D, B, B, A, B, A, D, B, A, B, C, C, C, C, B, A, A, D, C, A, C, D, D, B, D, C,-1      ,-1    
test_p14-76.png號,學生答案  , C, D, C, C, B, C, C, C, B, D, B, B, C, A, B, C, D, B, C, A, C, D, B, A, B, B, B, A, B, A, D, D, A, A, C, C, C, C, B, A, A, D, D, A, C, C, B, B, D, B,-1      ,-1    
test_p15-81.png號,學生答案  , A, D, C, C, B, C, C, A, B, C, B, B, C, A, B, C, D, B, C, A, C, A, B, A, D, B, A, B, B, A, D, B, A, B, C, C, C, C, B, A, A, D, C, A, C, D, D, B, C, C,-1      ,-1    
test_p16-86.png號,學生答案  , A, D, C, A, B, C, C, A, B, C, B, A, C, A, B, C, B, B, D, A, C, A, B, A, D, B, B, A, C, A, D, B, A, B, C, C, C, C, B, A, A, D, C, A, C, D, D, B, C, C,-1      ,-1    
test_p17-91.png號,學生答案  , C, D, C, C, B, C, C, C, B, C, B, C, D, A, D, C, B, B, D, B, C, C, B, A, D, A, B, D, C, A, D, B, A, B, C, C, C, D, B, B, A, D, C, A, C, D, D, D, D, A,-1      ,-1    
test_p18-96.png號,學生答案  , C, D, D, A, B, A, B, C, B, C, C, C, C, A, B, A, D, B, D, D, A, C, B, C, D, B, B, A, B, A, D, B, A, B, C, C, B, B, B, A, A, D, C, A, C, C, A, C, C, C,-1      ,-1    
test_p19-101.png號,學生答案  , A, D, C, A, B, C, B, C, B, C, B, D, C, A, B, C, B, B, C, A, A, A, A, C, D, A, B, B, B, A, D, C, A, A, C, C, C, C, B, A, A, C, D, A, A, D, B, A, C, C,-1      ,-1    
test_p2-16.png號,學生答案  , C, D, C, D, B, C, B, D, A, B, B, D, C, A, B, A, C, B, C, A, C, C, B, A, D, B, B, A, D, A, D, B, A, B, C, C, C, C, B, A, A, D, B, A, C, C, D, A, D, C,-1      ,-1    
test_p20-106.png號,學生答案  , A, D, C, A, A, C, D, A, B, D, B, B, C, A, B, A, D, B, D, A, C, B, B, D, D, B, B, A, B, A, D, B, A, B, C, C, C, C, B, A, A, D, C, A, D, D, B, A, D, C,-1      ,-1    
