\     ,標準答案  , A, D, C, A, B, C, C, A, B, C, B, B, C, A, B, A, D, B, A, A, C, A, B, A, D, B, B, B, B, A, D, B, A, B, C, C, C, C, B, A, A, D, C, A, C, D, D, B, D, C,答對題數,得分  ,符號說明,答案正確:-,答案錯誤:呈現學生答案,未作答:=
座號  ,題號      ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,        ,      ,複選時代碼對照,A:A,B:B,C:C
test_p0-6.png號,學生答案  , -, -, -, -, -, -, -, C, -, -, -, -, -, -, -, D, -, -, D, B, A, -, -, -, -, -, -, A, -, -, -, -, -, -, -, -, -, B, D, -, -, -, -, -, D, C, -, -, -, -,40      ,80    ,D:D,F:AB,G:AC,H:AD
test_p1-11.png號,學生答案  , C, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, D, -, -, C, -, -, -, -, -, -, -, -, -, -, -, -, -, -, D, -, -, -, -, -, -, -, B, -, -, -, -, -,44      ,88    ,J:BC,K:BD,M:CD,P:ABC
test_p10-56.png號,學生答案  , -, -, -, -, -, -, -, B, -, A, -, -, -, -, -, -, A, -, B, -, -, B, -, C, -, -, -, -, -, -, -, -, -, -, -, -, B, -, -, -, -, -, D, -, -, -, C, -, C, -,40      ,80    ,Q:ABD,S:ACD,V:BCD,Z:ABCD
test_p11-61.png號,學生答案  , C, B, -, -, -, -, -, C, -, -, -, D, -, -, -, -, A, -, C, -, A, -, -, -, -, -, -, -, D, D, -, -, -, -, -, -, -, -, -, -, C, -, A, -, D, -, -, -, C, -,37      ,74    
test_p12-66.png號,學生答案  , C, -, -, C, -, -, -, D, -, B, -, C, -, -, -, C, B, D, C, -, -, D, -, D, -, -, -, A, A, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, -,36      ,72    
test_p13-71.png號,學生答案  , C, -, -, -, -, -, -, -, -, B, -, -, -, -, -, -, -, -, D, -, -, C, -, -, -, -, -, A, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,45      ,90    
test_p14-76.png號,學生答案  , C, -, -, C, -, -, -, C, -, D, -, -, -, -, -, C, -, -, C, -, -, D, -, -, B, -, -, A, -, -, -, D, -, A, -, -, -, -, -, -, -, -, D, -, -, C, B, -, -, B,35      ,70    
test_p15-81.png號,學生答案  , -, -, -, C, -, -, -, -, -, -, -, -, -, -, -, C, -, -, C, -, -, -, -, -, -, -, A, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -,45      ,90    
test_p16-86.png號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, A, -, -, -, C, B, -, D, -, -, -, -, -, -, -, -, A, C, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -,43      ,86    
test_p17-91.png號,學生答案  , C, -, -, C, -, -, -, C, -, -, -, C, D, -, D, C, B, -, D, B, -, C, -, -, -, A, -, D, C, -, -, -, -, -, -, -, -, D, -, B, -, -, -, -, -, -, -, D, -, A,32      ,64    
test_p18-96.png號,學生答案  , C, -, D, -, -, A, B, C, -, -, C, C, -, -, -, -, -, -, D, D, A, C, -, C, -, -, -, A, -, -, -, -, -, -, -, -, B, B, -, -, -, -, -, -, -, C, A, C, C, -,31      ,62    
test_p19-101.png號,學生答案  , -, -, -, -, -, -, B, C, -, -, -, D, -, -, -, C, B, -, C, -, A, -, A, C, -, A, -, -, -, -, -, C, -, A, -, -, -, -, -, -, -, C, D, -, A, -, B, A, C, -,32      ,64    
test_p2-16.png號,學生答案  , C, -, -, D, -, -, B, D, A, B, -, D, -, -, -, -, C, -, C, -, -, C, -, -, -, -, -, A, D, -, -, -, -, -, -, -, -, -, -, -, -, -, B, -, -, C, -, A, -, -,35      ,70    
test_p20-106.png號,學生答案  , -, -, -, -, A, -, D, -, -, D, -, -, -, -, -, -, -, -, D, -, -, B, -, D, -, -, -, A, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, D, -, B, A, -, -,40      ,80    
