\     ,標準答案  , D, B, C, D, B, D, A, A, A, C, D, D, B, A, B, B, A, A, A, B, A, C, D, A, C, D, C, A, D, A, C, A, D, C, A, D, A, C, B, B, C, B, A, D, B, C, B, D, B, D,答對題數,得分  ,符號說明,答案正確:-,答案錯誤:呈現學生答案,未作答:=
座號  ,題號      ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,        ,      ,複選時代碼對照,A:A,B:B,C:C
01  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,50      ,100   ,D:D,F:AB,G:AC,H:AD
02  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,50      ,100   ,J:BC,K:BD,M:CD,P:ABC
03  號,學生答案  , -, C, B, -, -, -, -, -, -, -, A, -, A, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, -, C, -, B, -, -, -, A, A, -, A, -, -, -, -, -, -, A, -, -,39      ,78    ,Q:ABD,S:ACD,V:BCD,Z:ABCD
04  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, -, -, -, -, -, -, -, -, -,49      ,98    
05  號,學生答案  , -, -, -, -, -, -, B, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,49      ,98    
06  號,學生答案  , -, -, -, -, -, C, -, -, -, -, -, -, -, -, -, C, -, -, D, -, -, -, -, -, D, -, -, C, -, -, -, -, -, -, -, -, C, A, -, -, -, -, -, -, -, -, D, A, D, -,40      ,80    
07  號,學生答案  , -, -, -, -, -, -, -, D, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,49      ,98    
08  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, B, -, A, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, D, -, -, -, -, -, -, -, -, -,47      ,94    
09  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, D, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, B, -, -, -, -, -, -, -, -, -, -, -, -, -,48      ,96    
10  號,學生答案  , -, -, -, -, -, -, -, -, -, -, C, -, C, -, -, -, -, -, -, -, -, -, -, -, A, -, A, -, -, -, -, -, -, -, -, -, -, -, C, -, -, D, -, -, -, -, -, -, -, -,44      ,88    
11  號,學生答案  , -, -, -, -, -, -, -, -, -, -, C, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, -, -, -, -, -, -, -, A, -, D, -, -, -, -, -, -, -, -, -,46      ,92    
12  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,50      ,100   
13  號,學生答案  , -, -, -, -, -, -, -, -, -, D, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, A, -, -, A, -, -, -, -, -, D, -, A, -,44      ,88    
14  號,學生答案  , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, C, -, -, -, -, -, -, -, -, -, -, -, -, -,49      ,98    
